 20240927-134737,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_004_efb3e8cb --gpu 3,[exp_id] DCNv3_iPinYou_x1_004_efb3e8cb,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005535 - AUC: 0.783742,[test] logloss: 0.005535 - AUC: 0.783742
 20240927-150126,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_008_c1b58437 --gpu 3,[exp_id] DCNv3_iPinYou_x1_008_c1b58437,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005564 - AUC: 0.781313,[test] logloss: 0.005564 - AUC: 0.781313
 20240927-150257,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_007_8dde0b7d --gpu 0,[exp_id] DCNv3_iPinYou_x1_007_8dde0b7d,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005560 - AUC: 0.781588,[test] logloss: 0.005560 - AUC: 0.781588
 20240927-155201,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_003_8dde0b7d --gpu 2,[exp_id] DCNv3_iPinYou_x1_003_8dde0b7d,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005548 - AUC: 0.781328,[test] logloss: 0.005548 - AUC: 0.781328
 20240927-155211,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_001_ad4cbf15 --gpu 0,[exp_id] DCNv3_iPinYou_x1_001_ad4cbf15,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005546 - AUC: 0.781438,[test] logloss: 0.005546 - AUC: 0.781438
 20240927-160553,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_002_efb3e8cb --gpu 1,[exp_id] DCNv3_iPinYou_x1_002_efb3e8cb,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005547 - AUC: 0.781679,[test] logloss: 0.005547 - AUC: 0.781679
 20240927-161429,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_005_2844e28a --gpu 2,[exp_id] DCNv3_iPinYou_x1_005_2844e28a,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005537 - AUC: 0.782274,[test] logloss: 0.005537 - AUC: 0.782274
 20240927-164442,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_009_51324c4b --gpu 3,[exp_id] DCNv3_iPinYou_x1_009_51324c4b,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005543 - AUC: 0.781379,[test] logloss: 0.005543 - AUC: 0.781379
 20240927-171954,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_006_c1b58437 --gpu 1,[exp_id] DCNv3_iPinYou_x1_006_c1b58437,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005537 - AUC: 0.783100,[test] logloss: 0.005537 - AUC: 0.783100
 20240927-184636,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_015_dbb4ba0f --gpu 3,[exp_id] DCNv3_iPinYou_x1_015_dbb4ba0f,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005542 - AUC: 0.783302,[test] logloss: 0.005542 - AUC: 0.783302
 20240927-201649,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_010_782b383d --gpu 0,[exp_id] DCNv3_iPinYou_x1_010_782b383d,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005548 - AUC: 0.782689,[test] logloss: 0.005548 - AUC: 0.782689
 20240927-214657,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_012_8dd9ee37 --gpu 0,[exp_id] DCNv3_iPinYou_x1_012_8dd9ee37,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005545 - AUC: 0.783577,[test] logloss: 0.005545 - AUC: 0.783577
 20240927-220804,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_011_ffa94e10 --gpu 2,[exp_id] DCNv3_iPinYou_x1_011_ffa94e10,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005546 - AUC: 0.783370,[test] logloss: 0.005546 - AUC: 0.783370
 20240927-222951,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_013_ffa94e10 --gpu 1,[exp_id] DCNv3_iPinYou_x1_013_ffa94e10,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005550 - AUC: 0.782369,[test] logloss: 0.005550 - AUC: 0.782369
 20240927-223710,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_017_dbb4ba0f --gpu 3,[exp_id] DCNv3_iPinYou_x1_017_dbb4ba0f,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005532 - AUC: 0.784936,[test] logloss: 0.005532 - AUC: 0.784936
 20240927-231916,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_014_d5af0f13 --gpu 2,[exp_id] DCNv3_iPinYou_x1_014_d5af0f13,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005546 - AUC: 0.783403,[test] logloss: 0.005546 - AUC: 0.783403
 20241001-193944,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_001_efb3e8cb --gpu 0,[exp_id] DCNv3_iPinYou_x1_001_efb3e8cb,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005547 - AUC: 0.781679,[test] logloss: 0.005547 - AUC: 0.781679
 20241001-194835,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_002_ffa94e10 --gpu 1,[exp_id] DCNv3_iPinYou_x1_002_ffa94e10,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005546 - AUC: 0.783370,[test] logloss: 0.005546 - AUC: 0.783370
 20241001-195444,[command] python run_expid.py --config ./config/DCNv3_tuner_config_iPinYou --expid DCNv3_iPinYou_x1_003_280f7138 --gpu 2,[exp_id] DCNv3_iPinYou_x1_003_280f7138,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005537 - AUC: 0.783592,[test] logloss: 0.005537 - AUC: 0.783592
