 20241128-224208,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_014_b7de9670 --gpu 0,[exp_id] GNNv3_v8_iPinYou_x1_014_b7de9670,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005545 - AUC: 0.783793,[test] logloss: 0.005545 - AUC: 0.783793
 20241128-224225,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_005_51eec0ae --gpu 2,[exp_id] GNNv3_v8_iPinYou_x1_005_51eec0ae,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005545 - AUC: 0.782637,[test] logloss: 0.005545 - AUC: 0.782637
 20241128-224341,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_007_ac095975 --gpu 3,[exp_id] GNNv3_v8_iPinYou_x1_007_ac095975,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005559 - AUC: 0.781043,[test] logloss: 0.005559 - AUC: 0.781043
 20241128-225619,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_013_67ab07ab --gpu 1,[exp_id] GNNv3_v8_iPinYou_x1_013_67ab07ab,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005547 - AUC: 0.781475,[test] logloss: 0.005547 - AUC: 0.781475
 20241128-230341,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_016_5a7d7054 --gpu 0,[exp_id] GNNv3_v8_iPinYou_x1_016_5a7d7054,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005563 - AUC: 0.779041,[test] logloss: 0.005563 - AUC: 0.779041
 20241128-231325,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_010_bb8eed6d --gpu 3,[exp_id] GNNv3_v8_iPinYou_x1_010_bb8eed6d,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005543 - AUC: 0.782054,[test] logloss: 0.005543 - AUC: 0.782054
 20241128-232718,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_011_dfd6d376 --gpu 2,[exp_id] GNNv3_v8_iPinYou_x1_011_dfd6d376,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005546 - AUC: 0.780781,[test] logloss: 0.005546 - AUC: 0.780781
 20241128-233717,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_021_345d1eaa --gpu 1,[exp_id] GNNv3_v8_iPinYou_x1_021_345d1eaa,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005542 - AUC: 0.783465,[test] logloss: 0.005542 - AUC: 0.783465
 20241128-233903,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_002_8f06c3aa --gpu 3,[exp_id] GNNv3_v8_iPinYou_x1_002_8f06c3aa,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005562 - AUC: 0.778515,[test] logloss: 0.005562 - AUC: 0.778515
 20241128-235311,[command] python run_expid.py --config config/GNNv3_v8_expnummask_tuner_config_iPinYou --expid GNNv3_v8_iPinYou_x1_024_5ead7ea9 --gpu 0,[exp_id] GNNv3_v8_iPinYou_x1_024_5ead7ea9,[dataset_id] iPinYou_x1_csv,[train] N.A.,[val] logloss: 0.005546 - AUC: 0.781163,[test] logloss: 0.005546 - AUC: 0.781163
